EP	WP	EN	WN	Af
1	1	0.001	0.01	0.00001
1	1	0.01	0.00001	0.00001
0.001	0.01	1	1	0.00001
.01	1	1	1	0.00001
0.00001	0.00001	0.00001	0.00001	1

EP	WP	EN	WN	Af
1	1	0.001	0.1	0.00001
1	1	0.0001	0.00001	0.01
0.001	0.0001	1	0.1	0.00001
0.1	0.00001	0.1	1	0.00001
0.00001	0.01	0.00001	0.00001	1

EP	WP	EN	WN	Af
1	1	0.0001	0.01	0.00001
1	1	0.0001	0.00001	0.01
0.0001	0.0001	1	1	0.00001
0.01	0.00001	1	1	0.00001
0.00001	0.01	0	0	1

EP	WP	EN	WN	Af
1	0.1	0.00001	0.00001	0.00001
0.1	1	0.0001	0.00001	0.00001
0.00001	0.0001	1	1	0.00001
0.00001	0.00001	1	1	0.00001
0.00001	0.00001	0.00001	0.00001	1

END
